name,artist,uri,popularity,album_name,release_date,album_art_url,genres
Khé?,Rauw Alejandro,spotify:track:1YYfyJ2yCvGFCxwjsIqEK9,88,Cosa Nuestra,2024-11-15,https://i.scdn.co/image/ab67616d0000b273ed432d7df981360768dd5856,"puerto rican pop, reggaeton, trap latino, urbano latino"
Gang Baby,NLE Choppa,spotify:track:76Ku9OBFK1NjMylR8r4WLK,82,SLUT SZN,2024-09-27,https://i.scdn.co/image/ab67616d0000b273fb769724a2ee34b9f4ba1c76,"memphis hip hop, rap"
Shake Dat Ass (Twerk Song),BossMan Dlow,spotify:track:1vkpe29DP5EvAxYnWVq5C1,69,Too Slippery,2023-01-01,https://i.scdn.co/image/ab67616d0000b273234bd6e89b3fdd30080447bd,No genres available
Disease,Lady Gaga,spotify:track:19KlZwqlT3fguP2BeHF1Q1,83,Disease,2024-10-25,https://i.scdn.co/image/ab67616d0000b273465e58cfc2ee480a7d0ae59d,"art pop, dance pop, pop"
Think I'm In Love With You,Chris Stapleton,spotify:track:3Gn1zuHNLtGuGEOXwq0k7e,76,Higher,2023-11-10,https://i.scdn.co/image/ab67616d0000b273de2e30cf7205b45a0ba3877f,"contemporary country, outlaw country"
EL CLúB,Bad Bunny,spotify:track:3zOgFY5kpQ6p2cwPIquZks,85,EL CLúB,2024-12-05,https://i.scdn.co/image/ab67616d0000b2734331112097a80e410d085ec0,"reggaeton, trap latino, urbano latino"
Drive,SZA,spotify:track:2qYbtIf8dRkBkKIcZVGFDq,79,SOS Deluxe: LANA,2024-12-20,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,"pop, r&b, rap"
Too Sweet,Hozier,spotify:track:19XpFsce28aByvCC4g89tJ,84,Unreal Unearth: Unaired,2024-08-19,https://i.scdn.co/image/ab67616d0000b273b07bd43d1bec442c7fcc4d1e,"irish singer-songwriter, modern rock, pop, pov: indie"
Who,Jimin,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,90,MUSE,2024-07-19,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,k-pop
30 For 30 (with Kendrick Lamar),SZA,spotify:track:3aSWXU6owkZeVhh94XxEWO,84,SOS Deluxe: LANA,2024-12-20,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,"pop, r&b, rap"
WHATCHU KNO ABOUT ME (feat. Sexyy Red),GloRilla,spotify:track:5xeSd4HgzrYpNLEf3LfYLK,81,GLORIOUS,2024-10-11,https://i.scdn.co/image/ab67616d0000b273083fbaed50f66e8849b264cc,southern hip hop
Not Like Us,Kendrick Lamar,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,88,Not Like Us,2024-05-04,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad,"conscious hip hop, hip hop, rap, west coast rap"
Stargazing,Myles Smith,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,87,Stargazing,2024-05-10,https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a,singer-songwriter pop
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",spotify:track:3tFed7YsjGnIfxeLEQwx3R,89,CHROMAKOPIA,2024-10-28,https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c,"hip hop, rap"
"Good Luck, Babe!",Chappell Roan,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,93,"Good Luck, Babe!",2024-04-05,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7,indie pop
squabble up,Kendrick Lamar,spotify:track:0nj9Bq5sHDiTxSHunhgkFb,89,GNX,2024-11-22,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,"conscious hip hop, hip hop, rap, west coast rap"
Timeless (with Playboi Carti),The Weeknd,spotify:track:1Es7AUAhQvapIcoh3qMKDL,92,Timeless,2024-09-27,https://i.scdn.co/image/ab67616d0000b27394f662ef3b5677376d8a78d4,"canadian contemporary r&b, canadian pop, pop"
Love Somebody,Morgan Wallen,spotify:track:7hR22TOX3RorxJPcsz5Wbo,84,Love Somebody,2024-10-18,https://i.scdn.co/image/ab67616d0000b2734b86223903ecefaa8df576a4,contemporary country
Please Please Please,Sabrina Carpenter,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,87,Short n' Sweet,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,pop
Beautiful Things,Benson Boone,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,88,Fireworks & Rollerblades,2024-04-05,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,singer-songwriter pop
tv off (feat. lefty gunplay),Kendrick Lamar,spotify:track:0aB0v4027ukVziUGwVGYpG,91,GNX,2024-11-22,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,"conscious hip hop, hip hop, rap, west coast rap"
Taste,Sabrina Carpenter,spotify:track:5G2f63n7IPVPPjfNIGih7Q,91,Short n' Sweet,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,pop
I Had Some Help (Feat. Morgan Wallen),Post Malone,spotify:track:7221xIgOnuakPdLqT0F3nP,83,I Had Some Help,2024-05-10,https://i.scdn.co/image/ab67616d0000b27397306976e3eb8aad53b754eb,"dfw rap, melodic rap, pop, rap"
luther (with sza),Kendrick Lamar,spotify:track:45J4avUb9Ni0bnETYaYFVJ,90,GNX,2024-11-22,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,"conscious hip hop, hip hop, rap, west coast rap"
That’s So True,Gracie Abrams,spotify:track:7ne4VBA60CxGM75vw0EYad,96,The Secret of Us (Deluxe),2024-10-18,https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf,alt z
APT.,ROSÉ,spotify:track:5vNRhkKd0yEAg8suGBpjeY,96,APT.,2024-10-18,https://i.scdn.co/image/ab67616d0000b27336032cb4acd9df050bc2e197,k-pop
Lose Control,Teddy Swims,spotify:track:17phhZDn6oGtzMe56NuWvj,89,I've Tried Everything But Therapy (Part 1),2023-09-15,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,No genres available
Loco,Neton Vega,spotify:track:63EQbNhgaih4yg5412usWG,81,Loco,2024-12-20,https://i.scdn.co/image/ab67616d0000b273c16bc1be28cd9728172a77f8,corrido
BIRDS OF A FEATHER,Billie Eilish,spotify:track:6dOtVTDdiauQNBQEDOtlAB,97,HIT ME HARD AND SOFT,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,"art pop, pop"
Messy,Lola Young,spotify:track:3SKH53SPQbEnZR4cJPVaz2,87,Messy,2024-05-30,https://i.scdn.co/image/ab67616d0000b273a0cb974834e04f46b63b99a8,uk pop
Espresso,Sabrina Carpenter,spotify:track:2qSkIjg1o9h3YT9RAgYN75,88,Espresso,2024-04-12,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,pop
Smile,Morgan Wallen,spotify:track:3MJ6lFNV12FSHAOzTzkwxz,79,Smile,2024-12-31,https://i.scdn.co/image/ab67616d0000b2736c088410e41c97c4503f86d9,contemporary country
Liar,Jelly Roll,spotify:track:0llPOBVoJYDAtdmVlNE41A,75,Beautifully Broken,2024-10-10,https://i.scdn.co/image/ab67616d0000b273d80f1f7607d4b12390321773,"country rap, modern country pop, nashville hip hop, tennessee hip hop"
Indigo (feat. Avery Anna),Sam Barber,spotify:track:1KZG1H1OCugGqIRmk1wF9m,82,Restless Mind,2024-11-01,https://i.scdn.co/image/ab67616d0000b273c944a2c490ed24e29eef5119,modern country pop
I Am Not Okay,Jelly Roll,spotify:track:3SaS0Va6o6jYkWvadT86C6,76,Beautifully Broken,2024-10-10,https://i.scdn.co/image/ab67616d0000b273d80f1f7607d4b12390321773,"country rap, modern country pop, nashville hip hop, tennessee hip hop"
Defying Gravity,Cynthia Erivo,spotify:track:5QMrH5nszZZR3nefIj6Mar,85,Wicked: The Soundtrack,2024-11-22,https://i.scdn.co/image/ab67616d0000b27341ded89391c5350f6b8f991c,pop soul
Good News,Shaboozey,spotify:track:54p6vNJwGkt4FTaM8SCsxt,79,Good News,2024-11-15,https://i.scdn.co/image/ab67616d0000b273c97e11e794ddcd2c353ea390,"modern country pop, pop rap"
No One Noticed,The Marías,spotify:track:3siwsiaEoU4Kuuc9WKMUy5,86,Submarine,2024-05-31,https://i.scdn.co/image/ab67616d0000b2734d070fdf58fad8c54c5beb85,"bedroom pop, la indie"
It's ok I'm ok,Tate McRae,spotify:track:24XihnoVPWXlKJ4BgXqjVM,82,It's ok I'm ok,2024-09-12,https://i.scdn.co/image/ab67616d0000b273cd9a93745f6a7cd54deaab22,pop
"I Love You, I'm Sorry",Gracie Abrams,spotify:track:51rfRCiUSvxXlCSCfIztBy,89,The Secret of Us,2024-06-21,https://i.scdn.co/image/ab67616d0000b2736e2101520787791370f4a96b,alt z
Tu Boda,Oscar Maydon,spotify:track:1cOboCuWYI2osTOfolMRS6,91,Tu Boda,2024-09-26,https://i.scdn.co/image/ab67616d0000b273b51d9a74d356d785cce9dea9,corrido
Scorsese Baby Daddy,SZA,spotify:track:2E7a96qey4AzSOdK6H21vS,81,SOS Deluxe: LANA,2024-12-20,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,"pop, r&b, rap"
I'm Gonna Love You,Cody Johnson,spotify:track:6dayCflQl0ISXwZs6GBygC,69,I'm Gonna Love You,2024-09-27,https://i.scdn.co/image/ab67616d0000b27395c0304d0571deca26e1325b,"classic texas country, contemporary country, modern country pop"
I Never Lie,Zach Top,spotify:track:3t6gUcGYLrUuqwpXjOFWQc,79,Cold Beer & Country Music,2024-04-05,https://i.scdn.co/image/ab67616d0000b273e60cfb182df9bf24b4713edd,modern country pop
Lies Lies Lies,Morgan Wallen,spotify:track:7Fzl7QaTu47WyP9R5S5mh5,80,Lies Lies Lies,2024-07-05,https://i.scdn.co/image/ab67616d0000b27337eedb840f9441959db3107e,contemporary country
Wind Up Missin’ You,Tucker Wetmore,spotify:track:3EO58D1YpHnTvBy68gK8HE,79,Waves On A Sunset,2024-10-04,https://i.scdn.co/image/ab67616d0000b273201038e1f96d823bbe379336,modern country pop
Bed Chem,Sabrina Carpenter,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF,88,Short n' Sweet,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,pop
MILLION DOLLAR BABY,Tommy Richman,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,88,MILLION DOLLAR BABY,2024-04-26,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f,chill abstract hip hop
BMF,SZA,spotify:track:3U3hFkMr0Q90pD24EkE3Pr,85,SOS Deluxe: LANA,2024-12-20,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,"pop, r&b, rap"
Sailor Song,Gigi Perez,spotify:track:2262bWmqomIaJXwCRHr13j,93,Sailor Song,2024-07-26,https://i.scdn.co/image/ab67616d0000b273e6065f209e0a01986206bd53,bedroom pop
WILDFLOWER,Billie Eilish,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,92,HIT ME HARD AND SOFT,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,"art pop, pop"
Pink Pony Club,Chappell Roan,spotify:track:1k2pQc5i348DCHwbn5KTdc,85,The Rise and Fall of a Midwest Princess,2023-09-22,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,indie pop
